id,year,lgID,tmID,franchID,confID,divID,rank,G,W,L,T,OTL,Pts,name
2408,2008,NHL,DAL,DAL,WC,PC,3,82,36,35,,11,83,Dallas Stars
2409,2008,NHL,DET,DET,WC,CE,1,82,51,21,,10,112,Detroit Red Wings
2410,2008,NHL,EDM,EDM,WC,NW,4,82,38,35,,9,85,Edmonton Oilers
2411,2008,NHL,FLO,FLO,EC,SE,3,82,41,30,,11,93,Florida Panthers
2412,2008,NHL,LAK,LAK,WC,PC,5,82,34,37,,11,79,Los Angeles Kings
2413,2008,NHL,MIN,MIN,WC,NW,3,82,40,33,,9,89,Minnesota Wild
2414,2008,NHL,MTL,MTL,EC,NE,2,82,41,30,,11,93,Montreal Canadiens
2415,2008,NHL,NAS,NAS,WC,CE,5,82,40,34,,8,88,Nashville Predators
2416,2008,NHL,NJD,NJD,EC,AT,1,82,51,27,,4,106,New Jersey Devils
2417,2008,NHL,NYI,NYI,EC,AT,5,82,26,47,,9,61,New York Islanders
2418,2008,NHL,NYR,NYR,EC,AT,4,82,43,30,,9,95,New York Rangers
2419,2008,NHL,OTT,OTT,EC,NE,4,82,36,35,,11,83,Ottawa Senators
2420,2008,NHL,PHI,PHI,EC,AT,3,82,44,27,,11,99,Philadelphia Flyers
2421,2008,NHL,PHO,ARI,WC,PC,4,82,36,39,,7,79,Phoenix Coyotes
2422,2008,NHL,PIT,PIT,EC,AT,2,82,45,28,,9,99,Pittsburgh Penguins
2423,2008,NHL,SJS,SJS,WC,PC,1,82,53,18,,11,117,San Jose Sharks
2424,2008,NHL,STL,STL,WC,CE,3,82,41,31,,10,92,St. Louis Blues
2425,2008,NHL,TBL,TBL,EC,SE,5,82,24,40,,18,66,Tampa Bay Lightning
2426,2008,NHL,TOR,TOR,EC,NE,5,82,34,35,,13,81,Toronto Maple Leafs
2427,2008,NHL,VAN,VAN,WC,NW,1,82,45,27,,10,100,Vancouver Canucks
2428,2008,NHL,WAS,WAS,EC,SE,1,82,50,24,,8,108,Washington Capitals
2429,2009,NHL,AND,AND,WC,PC,4,82,39,32,,11,89,Anaheim Ducks
2430,2009,NHL,ATL,WPG,EC,SE,2,82,35,34,,13,83,Atlanta Thrashers
2431,2009,NHL,BOS,BOS,EC,NE,3,82,39,30,,13,91,Boston Bruins
2432,2009,NHL,BUF,BUF,EC,NE,1,82,45,27,,10,100,Buffalo Sabres
2433,2009,NHL,CAL,CAL,WC,NW,3,82,40,32,,10,90,Calgary Flames
2434,2009,NHL,CAR,CAR,EC,SE,3,82,35,37,,10,80,Carolina Hurricanes
2435,2009,NHL,CBS,CBS,WC,CE,5,82,32,35,,15,79,Columbus Blue Jackets
2436,2009,NHL,CHI,CHI,WC,CE,1,82,52,22,,8,112,Chicago Blackhawks
2437,2009,NHL,COL,COL,WC,NW,2,82,43,30,,9,95,Colorado Avalanche
2438,2009,NHL,DAL,DAL,WC,PC,5,82,37,31,,14,88,Dallas Stars
2439,2009,NHL,DET,DET,WC,CE,2,82,44,24,,14,102,Detroit Red Wings
2440,2009,NHL,EDM,EDM,WC,NW,5,82,27,47,,8,62,Edmonton Oilers
2441,2009,NHL,FLO,FLO,EC,SE,5,82,32,37,,13,77,Florida Panthers
2442,2009,NHL,LAK,LAK,WC,PC,3,82,46,27,,9,101,Los Angeles Kings
2443,2009,NHL,MIN,MIN,WC,NW,4,82,38,36,,8,84,Minnesota Wild
2444,2009,NHL,MTL,MTL,EC,NE,4,82,39,33,,10,88,Montreal Canadiens
2445,2009,NHL,NAS,NAS,WC,CE,3,82,47,29,,6,100,Nashville Predators
2446,2009,NHL,NJD,NJD,EC,AT,1,82,48,27,,7,103,New Jersey Devils
2447,2009,NHL,NYI,NYI,EC,AT,5,82,34,37,,11,79,New York Islanders
2448,2009,NHL,NYR,NYR,EC,AT,4,82,38,33,,11,87,New York Rangers
2449,2009,NHL,OTT,OTT,EC,NE,2,82,44,32,,6,94,Ottawa Senators
2450,2009,NHL,PHI,PHI,EC,AT,3,82,41,35,,6,88,Philadelphia Flyers
2451,2009,NHL,PHO,ARI,WC,PC,2,82,50,25,,7,107,Phoenix Coyotes
2452,2009,NHL,PIT,PIT,EC,AT,2,82,47,28,,7,101,Pittsburgh Penguins
2453,2009,NHL,SJS,SJS,WC,PC,1,82,51,20,,11,113,San Jose Sharks
2454,2009,NHL,STL,STL,WC,CE,4,82,40,32,,10,90,St. Louis Blues
2455,2009,NHL,TBL,TBL,EC,SE,4,82,34,36,,12,80,Tampa Bay Lightning
2456,2009,NHL,TOR,TOR,EC,NE,5,82,30,38,,14,74,Toronto Maple Leafs
2457,2009,NHL,VAN,VAN,WC,NW,1,82,49,28,,5,103,Vancouver Canucks
2458,2009,NHL,WAS,WAS,EC,SE,1,82,54,15,,13,121,Washington Capitals
2459,2010,NHL,AND,AND,WC,PC,2,82,47,30,,5,99,Anaheim Ducks
2460,2010,NHL,ATL,WPG,EC,SE,4,82,34,36,,12,80,Atlanta Thrashers
2461,2010,NHL,BOS,BOS,EC,NE,1,82,46,25,,11,103,Boston Bruins
2462,2010,NHL,BUF,BUF,EC,NE,3,82,43,29,,10,96,Buffalo Sabres
2463,2010,NHL,CAL,CAL,WC,NW,2,82,41,29,,12,94,Calgary Flames
2464,2010,NHL,CAR,CAR,EC,SE,3,82,40,31,,11,91,Carolina Hurricanes
2465,2010,NHL,CBS,CBS,WC,CE,5,82,34,35,,13,81,Columbus Blue Jackets
2466,2010,NHL,CHI,CHI,WC,CE,3,82,44,29,,9,97,Chicago Blackhawks
2467,2010,NHL,COL,COL,WC,NW,4,82,30,44,,8,68,Colorado Avalanche
2468,2010,NHL,DAL,DAL,WC,PC,5,82,42,29,,11,95,Dallas Stars
2469,2010,NHL,DET,DET,WC,CE,1,82,47,25,,10,104,Detroit Red Wings
2470,2010,NHL,EDM,EDM,WC,NW,5,82,25,45,,12,62,Edmonton Oilers
2471,2010,NHL,FLO,FLO,EC,SE,5,82,30,40,,12,72,Florida Panthers
2472,2010,NHL,LAK,LAK,WC,PC,4,82,46,30,,6,98,Los Angeles Kings
2473,2010,NHL,MIN,MIN,WC,NW,3,82,39,35,,8,86,Minnesota Wild
2474,2010,NHL,MTL,MTL,EC,NE,2,82,44,30,,8,96,Montreal Canadiens
2475,2010,NHL,NAS,NAS,WC,CE,2,82,44,27,,11,99,Nashville Predators
2476,2010,NHL,NJD,NJD,EC,AT,4,82,38,39,,5,81,New Jersey Devils
2477,2010,NHL,NYI,NYI,EC,AT,5,82,30,39,,13,73,New York Islanders
2478,2010,NHL,NYR,NYR,EC,AT,3,82,44,33,,5,93,New York Rangers
2479,2010,NHL,OTT,OTT,EC,NE,5,82,32,40,,10,74,Ottawa Senators
2480,2010,NHL,PHI,PHI,EC,AT,1,82,47,23,,12,106,Philadelphia Flyers
2481,2010,NHL,PHO,ARI,WC,PC,3,82,43,26,,13,99,Phoenix Coyotes
2482,2010,NHL,PIT,PIT,EC,AT,2,82,49,25,,8,106,Pittsburgh Penguins
2483,2010,NHL,SJS,SJS,WC,PC,1,82,48,25,,9,105,San Jose Sharks
2484,2010,NHL,STL,STL,WC,CE,4,82,38,33,,11,87,St. Louis Blues
2485,2010,NHL,TBL,TBL,EC,SE,2,82,46,25,,11,103,Tampa Bay Lightning
2486,2010,NHL,TOR,TOR,EC,NE,4,82,37,34,,11,85,Toronto Maple Leafs
2487,2010,NHL,VAN,VAN,WC,NW,1,82,54,19,,9,117,Vancouver Canucks
2488,2010,NHL,WAS,WAS,EC,SE,1,82,48,23,,11,107,Washington Capitals
2489,2011,NHL,AND,AND,WC,PC,5,82,34,36,,12,80,Anaheim Ducks
2490,2011,NHL,BOS,BOS,EC,NE,1,82,49,29,,4,102,Boston Bruins
2491,2011,NHL,BUF,BUF,EC,NE,3,82,39,32,,11,89,Buffalo Sabres
2492,2011,NHL,CAL,CAL,WC,NW,2,82,37,29,,16,90,Calgary Flames
2493,2011,NHL,CAR,CAR,EC,SE,5,82,33,33,,16,82,Carolina Hurricanes
2494,2011,NHL,CBS,CBS,WC,CE,5,82,29,46,,7,65,Columbus Blue Jackets
2495,2011,NHL,CHI,CHI,WC,CE,4,82,45,26,,11,101,Chicago Blackhawks
2496,2011,NHL,COL,COL,WC,NW,3,82,41,35,,6,88,Colorado Avalanche
2497,2011,NHL,DAL,DAL,WC,PC,4,82,42,35,,5,89,Dallas Stars
2498,2011,NHL,DET,DET,WC,CE,3,82,48,28,,6,102,Detroit Red Wings
2499,2011,NHL,EDM,EDM,WC,NW,5,82,32,40,,10,74,Edmonton Oilers
2500,2011,NHL,FLO,FLO,EC,SE,1,82,38,26,,18,94,Florida Panthers
2501,2011,NHL,LAK,LAK,WC,PC,3,82,40,27,,15,95,Los Angeles Kings
2502,2011,NHL,MIN,MIN,WC,NW,4,82,35,36,,11,81,Minnesota Wild
2503,2011,NHL,MTL,MTL,EC,NE,5,82,31,35,,16,78,Montreal Canadiens
2504,2011,NHL,NAS,NAS,WC,CE,2,82,48,26,,8,104,Nashville Predators
2505,2011,NHL,NJD,NJD,EC,AT,4,82,48,28,,6,102,New Jersey Devils
2506,2011,NHL,NYI,NYI,EC,AT,5,82,34,37,,11,79,New York Islanders
2507,2011,NHL,NYR,NYR,EC,AT,1,82,51,24,,7,109,New York Rangers
2508,2011,NHL,OTT,OTT,EC,NE,2,82,41,31,,10,92,Ottawa Senators
2509,2011,NHL,PHI,PHI,EC,AT,3,82,47,26,,9,103,Philadelphia Flyers
2510,2011,NHL,PHO,ARI,WC,PC,1,82,42,27,,13,97,Phoenix Coyotes
2511,2011,NHL,PIT,PIT,EC,AT,2,82,51,25,,6,108,Pittsburgh Penguins
2512,2011,NHL,SJS,SJS,WC,PC,2,82,43,29,,10,96,San Jose Sharks
2513,2011,NHL,STL,STL,WC,CE,1,82,49,22,,11,109,St. Louis Blues
2514,2011,NHL,TBL,TBL,EC,SE,3,82,38,36,,8,84,Tampa Bay Lightning
2515,2011,NHL,TOR,TOR,EC,NE,4,82,35,37,,10,80,Toronto Maple Leafs
2516,2011,NHL,VAN,VAN,WC,NW,1,82,51,22,,9,111,Vancouver Canucks
2517,2011,NHL,WAS,WAS,EC,SE,2,82,42,32,,8,92,Washington Capitals
2518,2011,NHL,WPG,WPG,EC,SE,4,82,37,35,,10,84,Winnipeg Jets
2519,2012,NHL,AND,AND,WC,PC,1,48,30,12,,6,66,Anaheim Ducks
2520,2012,NHL,BOS,BOS,EC,NE,2,48,28,14,,6,62,Boston Bruins
2521,2012,NHL,BUF,BUF,EC,NE,5,48,21,21,,6,48,Buffalo Sabres
2522,2012,NHL,CAL,CAL,WC,NW,4,48,19,25,,4,42,Calgary Flames
2523,2012,NHL,CAR,CAR,EC,SE,3,48,19,25,,4,42,Carolina Hurricanes
2524,2012,NHL,CBS,CBS,WC,CE,4,48,24,17,,7,55,Columbus Blue Jackets
2525,2012,NHL,CHI,CHI,WC,CE,1,48,36,7,,5,77,Chicago Blackhawks
2526,2012,NHL,COL,COL,WC,NW,5,48,16,25,,7,39,Colorado Avalanche
2527,2012,NHL,DAL,DAL,WC,PC,5,48,22,22,,4,48,Dallas Stars
2528,2012,NHL,DET,DET,WC,CE,3,48,24,16,,8,56,Detroit Red Wings
2529,2012,NHL,EDM,EDM,WC,NW,3,48,19,22,,7,45,Edmonton Oilers
2530,2012,NHL,FLO,FLO,EC,SE,5,48,15,27,,6,36,Florida Panthers
2531,2012,NHL,LAK,LAK,WC,PC,2,48,27,16,,5,59,Los Angeles Kings
2532,2012,NHL,MIN,MIN,WC,NW,2,48,26,19,,3,55,Minnesota Wild
2533,2012,NHL,MTL,MTL,EC,NE,1,48,29,14,,5,63,Montreal Canadiens
2534,2012,NHL,NAS,NAS,WC,CE,5,48,16,23,,9,41,Nashville Predators
2535,2012,NHL,NJD,NJD,EC,AT,5,48,19,19,,10,48,New Jersey Devils
2536,2012,NHL,NYI,NYI,EC,AT,3,48,24,17,,7,55,New York Islanders
2537,2012,NHL,NYR,NYR,EC,AT,2,48,26,18,,4,56,New York Rangers
2538,2012,NHL,OTT,OTT,EC,NE,4,48,25,17,,6,56,Ottawa Senators
2539,2012,NHL,PHI,PHI,EC,AT,4,48,23,22,,3,49,Philadelphia Flyers
2540,2012,NHL,PHO,ARI,WC,PC,4,48,21,18,,9,51,Phoenix Coyotes
2541,2012,NHL,PIT,PIT,EC,AT,1,48,36,12,,0,72,Pittsburgh Penguins
2542,2012,NHL,SJS,SJS,WC,PC,3,48,25,16,,7,57,San Jose Sharks
2543,2012,NHL,STL,STL,WC,CE,2,48,29,17,,2,60,St. Louis Blues
2544,2012,NHL,TBL,TBL,EC,SE,4,48,18,26,,4,40,Tampa Bay Lightning
2545,2012,NHL,TOR,TOR,EC,NE,3,48,26,17,,5,57,Toronto Maple Leafs
2546,2012,NHL,VAN,VAN,WC,NW,1,48,26,15,,7,59,Vancouver Canucks
2547,2012,NHL,WAS,WAS,EC,SE,1,48,27,18,,3,57,Washington Capitals
2548,2012,NHL,WPG,WPG,EC,SE,2,48,24,21,,3,51,Winnipeg Jets
2549,2013,NHL,AND,AND,WC,PC,1,82,54,20,,8,116,Anaheim Ducks
2550,2013,NHL,BOS,BOS,EC,AT,1,82,54,19,,9,117,Boston Bruins
2551,2013,NHL,BUF,BUF,EC,AT,8,82,21,51,,10,52,Buffalo Sabres
2552,2013,NHL,CAL,CAL,WC,PC,6,82,35,40,,7,77,Calgary Flames
2553,2013,NHL,CAR,CAR,EC,ME,7,82,36,35,,11,83,Carolina Hurricanes
2554,2013,NHL,CBS,CBS,EC,ME,4,82,43,32,,7,93,Columbus Blue Jackets
2555,2013,NHL,CHI,CHI,WC,CE,3,82,46,21,,15,107,Chicago Blackhawks
2556,2013,NHL,COL,COL,WC,CE,1,82,52,22,,8,112,Colorado Avalanche
2557,2013,NHL,DAL,DAL,WC,CE,5,82,40,31,,11,91,Dallas Stars
2558,2013,NHL,DET,DET,EC,AT,4,82,39,28,,15,93,Detroit Red Wings
2559,2013,NHL,EDM,EDM,WC,PC,7,82,29,44,,9,67,Edmonton Oilers
2560,2013,NHL,FLO,FLO,EC,AT,7,82,29,45,,8,66,Florida Panthers
2561,2013,NHL,LAK,LAK,WC,PC,3,82,46,28,,8,100,Los Angeles Kings
2562,2013,NHL,MIN,MIN,WC,CE,4,82,43,27,,12,98,Minnesota Wild
2563,2013,NHL,MTL,MTL,EC,AT,3,82,46,28,,8,100,Montreal Canadiens
2564,2013,NHL,NAS,NAS,WC,CE,6,82,38,32,,12,88,Nashville Predators
2565,2013,NHL,NJD,NJD,EC,ME,6,82,35,29,,18,88,New Jersey Devils
2566,2013,NHL,NYI,NYI,EC,ME,8,82,34,37,,11,79,New York Islanders
2567,2013,NHL,NYR,NYR,EC,ME,2,82,45,31,,6,96,New York Rangers
2568,2013,NHL,OTT,OTT,EC,AT,5,82,37,31,,14,88,Ottawa Senators
2569,2013,NHL,PHI,PHI,EC,ME,3,82,42,30,,10,94,Philadelphia Flyers
2570,2013,NHL,PHO,ARI,WC,PC,4,82,37,30,,15,89,Phoenix Coyotes
2571,2013,NHL,PIT,PIT,EC,ME,1,82,51,24,,7,109,Pittsburgh Penguins
2572,2013,NHL,SJS,SJS,WC,PC,2,82,51,22,,9,111,San Jose Sharks
2573,2013,NHL,STL,STL,WC,CE,2,82,52,23,,7,111,St. Louis Blues
2574,2013,NHL,TBL,TBL,EC,AT,2,82,46,27,,9,101,Tampa Bay Lightning
2575,2013,NHL,TOR,TOR,EC,AT,6,82,38,36,,8,84,Toronto Maple Leafs
2576,2013,NHL,VAN,VAN,WC,PC,5,82,36,35,,11,83,Vancouver Canucks
2577,2013,NHL,WAS,WAS,EC,ME,5,82,38,30,,14,90,Washington Capitals
2578,2013,NHL,WPG,WPG,WC,CE,7,82,37,35,,10,84,Winnipeg Jets
2579,2014,NHL,AND,AND,WC,PC,1,82,51,24,,7,109,Anaheim Ducks
2580,2014,NHL,ARI,ARI,WC,PC,7,82,24,50,,8,56,Arizona Coyotes
2581,2014,NHL,BOS,BOS,EC,AT,5,82,41,27,,14,96,Boston Bruins
2582,2014,NHL,BUF,BUF,EC,AT,8,82,23,51,,8,54,Buffalo Sabres
2583,2014,NHL,CAL,CAL,WC,PC,3,82,45,30,,7,97,Calgary Flames
2584,2014,NHL,CAR,CAR,EC,ME,8,82,30,41,,11,71,Carolina Hurricanes
2585,2014,NHL,CBS,CBS,EC,ME,5,82,42,35,,5,89,Columbus Blue Jackets
2586,2014,NHL,CHI,CHI,WC,CE,3,82,48,28,,6,102,Chicago Blackhawks
2587,2014,NHL,COL,COL,WC,CE,7,82,39,31,,12,90,Colorado Avalanche
2588,2014,NHL,DAL,DAL,WC,CE,6,82,41,31,,10,92,Dallas Stars
2589,2014,NHL,DET,DET,EC,AT,3,82,43,25,,14,100,Detroit Red Wings
2590,2014,NHL,EDM,EDM,WC,PC,6,82,24,44,,14,62,Edmonton Oilers
2591,2014,NHL,FLO,FLO,EC,AT,6,82,38,29,,15,91,Florida Panthers
2592,2014,NHL,LAK,LAK,WC,PC,4,82,40,27,,15,95,Los Angeles Kings
2593,2014,NHL,MIN,MIN,WC,CE,4,82,46,28,,8,100,Minnesota Wild
2594,2014,NHL,MTL,MTL,EC,AT,1,82,50,22,,10,110,Montreal Canadiens
2595,2014,NHL,NAS,NAS,WC,CE,2,82,47,25,,10,104,Nashville Predators
2596,2014,NHL,NJD,NJD,EC,ME,7,82,32,36,,14,78,New Jersey Devils
2597,2014,NHL,NYI,NYI,EC,ME,3,82,47,28,,7,101,New York Islanders
2598,2014,NHL,NYR,NYR,EC,ME,1,82,53,22,,7,113,New York Rangers
2599,2014,NHL,OTT,OTT,EC,AT,4,82,43,26,,13,99,Ottawa Senators
2600,2014,NHL,PHI,PHI,EC,ME,6,82,33,31,,18,84,Philadelphia Flyers
2601,2014,NHL,PIT,PIT,EC,ME,4,82,43,27,,12,98,Pittsburgh Penguins
2602,2014,NHL,SJS,SJS,WC,PC,5,82,40,33,,9,89,San Jose Sharks
2603,2014,NHL,STL,STL,WC,CE,1,82,51,24,,7,109,St. Louis Blues
2604,2014,NHL,TBL,TBL,EC,AT,2,82,50,24,,8,108,Tampa Bay Lightning
2605,2014,NHL,TOR,TOR,EC,AT,7,82,30,44,,8,68,Toronto Maple Leafs
2606,2014,NHL,VAN,VAN,WC,PC,2,82,48,29,,5,101,Vancouver Canucks
2607,2014,NHL,WAS,WAS,EC,ME,2,82,45,26,,11,101,Washington Capitals
2608,2014,NHL,WPG,WPG,WC,CE,5,82,43,26,,13,99,Winnipeg Jets
2609,2015,NHL,AND,AND,WC,PC,1,82,46,25,,11,103,Anaheim Ducks
2610,2015,NHL,ARI,ARI,WC,PC,4,82,35,39,,8,78,Arizona Coyotes
2611,2015,NHL,BOS,BOS,EC,AT,4,82,42,31,,9,93,Boston Bruins
2612,2015,NHL,BUF,BUF,EC,AT,7,82,35,36,,11,81,Buffalo Sabres
2613,2015,NHL,CAL,CAL,WC,PC,5,82,35,40,,7,77,Calgary Flames
2614,2015,NHL,CAR,CAR,EC,ME,6,82,35,31,,16,86,Carolina Hurricanes
2615,2015,NHL,CBS,CBS,EC,ME,8,82,34,40,,8,76,Columbus Blue Jackets
2616,2015,NHL,CHI,CHI,WC,CE,3,82,47,26,,9,103,Chicago Blackhawks
2617,2015,NHL,COL,COL,WC,CE,6,82,39,39,,4,82,Colorado Avalanche
2618,2015,NHL,DAL,DAL,WC,CE,1,82,50,23,,9,109,Dallas Stars
2619,2015,NHL,DET,DET,EC,AT,3,82,41,30,,11,93,Detroit Red Wings
2620,2015,NHL,EDM,EDM,WC,PC,7,82,31,43,,8,70,Edmonton Oilers
2621,2015,NHL,FLO,FLO,EC,AT,1,82,47,26,,9,103,Florida Panthers
2622,2015,NHL,LAK,LAK,WC,PC,2,82,48,28,,6,102,Los Angeles Kings
2623,2015,NHL,MIN,MIN,WC,CE,5,82,38,33,,11,87,Minnesota Wild
2624,2015,NHL,MTL,MTL,EC,AT,6,82,38,38,,6,82,Montreal Canadiens
2625,2015,NHL,NAS,NAS,WC,CE,4,82,41,27,,14,96,Nashville Predators
2626,2015,NHL,NJD,NJD,EC,ME,7,82,38,36,,8,84,New Jersey Devils
2627,2015,NHL,NYI,NYI,EC,ME,4,82,45,27,,10,100,New York Islanders
2628,2015,NHL,NYR,NYR,EC,ME,3,82,46,27,,9,101,New York Rangers
2629,2015,NHL,OTT,OTT,EC,AT,5,82,38,35,,9,85,Ottawa Senators
2630,2015,NHL,PHI,PHI,EC,ME,5,82,41,27,,14,96,Philadelphia Flyers
2631,2015,NHL,PIT,PIT,EC,ME,2,82,48,26,,8,104,Pittsburgh Penguins
2632,2015,NHL,SJS,SJS,WC,PC,3,82,46,30,,6,98,San Jose Sharks
2633,2015,NHL,STL,STL,WC,CE,2,82,49,24,,9,107,St. Louis Blues
2634,2015,NHL,TBL,TBL,EC,AT,2,82,46,31,,5,97,Tampa Bay Lightning
2635,2015,NHL,TOR,TOR,EC,AT,8,82,29,42,,11,69,Toronto Maple Leafs
2636,2015,NHL,VAN,VAN,WC,PC,6,82,31,38,,13,75,Vancouver Canucks
2637,2015,NHL,WAS,WAS,EC,ME,1,82,56,18,,8,120,Washington Capitals
2638,2015,NHL,WPG,WPG,WC,CE,7,82,35,39,,8,78,Winnipeg Jets
2639,2016,NHL,AND,AND,WC,PC,1,82,46,23,,13,105,Anaheim Ducks
2640,2016,NHL,ARI,ARI,WC,PC,6,82,30,42,,10,70,Arizona Coyotes
2641,2016,NHL,BOS,BOS,EC,AT,3,82,44,31,,7,95,Boston Bruins
2642,2016,NHL,BUF,BUF,EC,AT,8,82,33,37,,12,78,Buffalo Sabres
2643,2016,NHL,CAL,CAL,WC,PC,4,82,45,33,,4,94,Calgary Flames
2644,2016,NHL,CAR,CAR,EC,ME,7,82,36,31,,15,87,Carolina Hurricanes
2645,2016,NHL,CBS,CBS,EC,ME,3,82,50,24,,8,108,Columbus Blue Jackets
2646,2016,NHL,CHI,CHI,WC,CE,1,82,50,23,,9,109,Chicago Blackhawks
2647,2016,NHL,COL,COL,WC,CE,7,82,22,56,,4,48,Colorado Avalanche
2648,2016,NHL,DAL,DAL,WC,CE,6,82,34,37,,11,79,Dallas Stars
2649,2016,NHL,DET,DET,EC,AT,7,82,33,36,,13,79,Detroit Red Wings
2650,2016,NHL,EDM,EDM,WC,PC,2,82,47,26,,9,103,Edmonton Oilers
2651,2016,NHL,FLO,FLO,EC,AT,6,82,35,36,,11,81,Florida Panthers
2652,2016,NHL,LAK,LAK,WC,PC,5,82,39,35,,8,86,Los Angeles Kings
2653,2016,NHL,MIN,MIN,WC,CE,2,82,49,25,,8,106,Minnesota Wild
2654,2016,NHL,MTL,MTL,EC,AT,1,82,47,26,,9,103,Montreal Canadiens
2655,2016,NHL,NAS,NAS,WC,CE,4,82,41,29,,12,94,Nashville Predators
2656,2016,NHL,NJD,NJD,EC,ME,8,82,28,40,,14,70,New Jersey Devils
2657,2016,NHL,NYI,NYI,EC,ME,5,82,41,29,,12,94,New York Islanders
2658,2016,NHL,NYR,NYR,EC,ME,4,82,48,28,,6,102,New York Rangers
2659,2016,NHL,OTT,OTT,EC,AT,2,82,44,28,,10,98,Ottawa Senators
2660,2016,NHL,PHI,PHI,EC,ME,6,82,39,33,,10,88,Philadelphia Flyers
2661,2016,NHL,PIT,PIT,EC,ME,2,82,50,21,,11,111,Pittsburgh Penguins
2662,2016,NHL,SJS,SJS,WC,PC,3,82,46,29,,7,99,San Jose Sharks
2663,2016,NHL,STL,STL,WC,CE,3,82,46,29,,7,99,St. Louis Blues
2664,2016,NHL,TBL,TBL,EC,AT,5,82,42,30,,10,94,Tampa Bay Lightning
2665,2016,NHL,TOR,TOR,EC,AT,4,82,40,27,,15,95,Toronto Maple Leafs
2666,2016,NHL,VAN,VAN,WC,PC,7,82,30,43,,9,69,Vancouver Canucks
2667,2016,NHL,WAS,WAS,EC,ME,1,82,55,19,,8,118,Washington Capitals
2668,2016,NHL,WPG,WPG,WC,CE,5,82,40,35,,7,87,Winnipeg Jets
